first_name,last_name,director_id
Phillip,Borsos,d2063
Kevin,Lima,d11525
Brett,Leonard,d11284
Carlo,Carlei,d2867
Gérard,Corbiau,d3813
Mark,Lewis,d11450
Art,Clokey,d3527
Charles,Burnett,d2543
Steve,James,d8940
Peter,Jackson,d8871
Randall,Miller,d13297
Bernard,Rose,d16865
Steven,Brill,d2296
J.F.,Lawton,d11003
Fred,Schepisi,d17594
Neil,Jordan,d9267
James,Ivory,d8832
James,Melkonian,d13026
Ivan,Reitman,d16390
Arne,Glimcher,d6680
Michael,Gottlieb,d6912
George,Lucas,d11820
Gillian,Armstrong,d619
Alfonso,Cuarón,d4060
Ken,Loach,d11657
Claude,Chabrol,d3070
Edward,Zwick,d22033
James,Gray,d7029
Glenn Gordon,Caron,d2901
Stephen,Gyllenhaal,d7346
Nicholas,Hytner,d8623
James,Orr,d14800
Nora,Ephron,d5267
Richard,Benjamin,d1466
Les,Mayfield,d12698
David,Frankel,d5975
Gregory,Nava,d14115
Marc,Rocco,d16708
Robert,Benton,d1497
Michael,Apted,d547
Nick,Gomez,d6806
Tôru,Murakawa,d13884
Vadim,Jean,d9018
Albert,Pyun,d15998
Alan,Jacobs,d8877
Norman,Jewison,d9081
Lee,Tamahori,d19536
Anne,Goursaud,d6928
Wolfgang,Petersen,d15399
Luc,Besson,d1646
Mira,Nair,d14035
Joshua,Brand,d2199
Quentin,Tarantino,d19580
Mario Van,Peebles,d15267
Robert,Redford,d16299
Kayo,Hatta,d7757
Patrice,Chéreau,d3414
Sam,Raimi,d16118
Peter,Yates,d21670
Robert,Altman,d305
Krzysztof,Kieslowski,d9946
Ping,He,d7816
Fred,Gerber,d6455
George,Mihalka,d13215
Harold,Ramis,d16148
Richard,Rich,d16494
John,Sayles,d17524
Luis,Llosa,d11642
Roland,Emmerich,d5224
John,Pasquin,d15147
Frank,Darabont,d4267
Danny,Boyle,d2153
Scott,McGehee,d12838
 David,Siegel,d18312
Tomás Gutiérrez,Alea,d230
 Juan Carlos,Tabío,d19462
George,Huang,d8452
Geoff,Burton,d2576
 Kevin,Dowling,d4863
Kelly,Makin,d12153
Rachel,Talalay,d19517
Ernest R.,Dickerson,d4631
David,Carson,d2939
Rusty,Cundieff,d4098
Brian,Gilbert,d6549
John,Carpenter,d2905
Peter,Segal,d17864
Louis,Malle,d12193
Steven,Soderbergh,d18706
Preston A. Whitmore,II,d8647
Jon,Turteltaub,d20220
Mina,Shum,d18275
P.J.,Hogan,d8225
Melanie,Mayron,d12708
Tom,Shadyac,d18002
Stephan,Elliott,d5194
Phillip,Noyce,d14467
Jessie,Nelson,d14186
Alex,Proyas,d15926
Ron,Shelton,d18123
Brian,Levant,d11364
Robert,Zemeckis,d21912
John,Singleton,d18452
Darnell,Martin,d12491
Andrew,Bergman,d1541
Stephen,Sommers,d18764
Ray,Müller,d14000
 Ray,Müller,d13999
Roger,Allers,d279
 Rob,Minkoff,d13353
Bernardo,Bertolucci,d1630
Chuck,Russell,d17089
Alan,Rudolph,d17052
Ben,Stiller,d19112
Donald,Petrie,d15422
Robert Allan,Ackerman,d59
Curtis,Hanson,d7587
Jan de,Bont,d2009
Ron,Underwood,d20287
James,Cameron,d2753
Luis,Mandoki,d12248
Damian,Harris,d7654
Suri,Krishnamma,d10474
Jefery,Levy,d11416
Keenen Ivory,Wayans,d20930
Robert Lee,King,d10058
 Raoul,O'Connell,d14532
 Brian,Sloan,d18561
Yves,Angelo,d485
Russ,Meyer,d13163
Doug,McHenry,d12872
Dave,Borthwick,d2065
Steven E. de,Souza,d18820
Wallace,Wolodarsky,d21449
Michael A.,Nickles,d14301
Paul,Warner,d20869
Vincent,Robert,d16647
Theodore,Thomas,d19792
Lucas,Platt,d15625
Ross Kagan,Marks,d12414
Paul,Williams,d21270
Robert,Wuhl,d21567
Roberto,Sneider,d18681
Jefri,Aalmuhammed,d1
 Jack,Baxter,d1293
Andrew,Morahan,d13623
Michael,Corrente,d3854
John G.,Avildsen,d826
Jeff,Pollack,d15689
Thomas,Schlamme,d17627
Michael,Lehmann,d11205
Paul Michael,Glaser,d6646
Jonathan,Kaplan,d9530
Whit,Stillman,d19115
Bill,Forsyth,d5884
John,Landis,d10806
Caroline,Thompson,d19803
Stephen,Hopkins,d8328
Tony,Richardson,d16509
Jennifer,Lynch,d11919
