,awards,imdb_id
321,Nominated for 1 Golden Globe. Another 5 wins & 4 nominations.,tt0110081
322,N/A,tt0114614
323,1 nomination.,tt0114608
324,2 wins & 4 nominations.,tt0111280
325,N/A,tt0114609
326,Nominated for 2 Oscars. Another 3 wins & 3 nominations.,tt0111454
327,2 nominations.,tt0114852
328,1 win & 2 nominations.,tt0114694
329,2 wins & 12 nominations.,tt0111590
330,1 nomination.,tt0114788
331,N/A,tt0114888
332,Nominated for 1 Oscar. Another 7 wins & 6 nominations.,tt0108550
333,1 nomination.,tt0114857
334,Nominated for 1 Golden Globe. Another 4 wins & 4 nominations.,tt0114924
335,1 win & 3 nominations.,tt0111667
336,6 wins & 6 nominations.,tt0109655
337,Nominated for 1 Golden Globe. Another 8 wins & 10 nominations.,tt0110598
338,2 wins & 1 nomination.,tt0112435
339,5 wins & 5 nominations.,tt0109040
340,Won 1 Oscar. Another 9 wins & 18 nominations.,tt0109045
341,Nominated for 1 BAFTA Film Award. Another 5 wins & 3 nominations.,tt0106339
342,1 win & 1 nomination.,tt0104779
343,Won 1 Oscar. Another 20 wins & 23 nominations.,tt0109348
344,Nominated for 2 Oscars. Another 3 wins & 7 nominations.,tt0109444
345,Nominated for 1 Oscar. Another 3 wins & 3 nominations.,tt0109446
346,3 nominations.,tt0109484
347,3 nominations.,tt0109504
348,3 wins & 6 nominations.,tt0109506
349,1 nomination.,tt0109450
350,6 wins & 10 nominations.,tt0109813
351,Won 6 Oscars. Another 40 wins & 67 nominations.,tt0109830
352,Nominated for 2 Oscars. Another 24 wins & 23 nominations.,tt0109831
353,1 win & 1 nomination.,tt0113305
354,1 win & 5 nominations.,tt0110091
355,N/A,tt0110093
356,N/A,tt0110167
357,2 nominations.,tt0110213
358,2 wins & 1 nomination.,tt0107472
359,Won 2 Oscars. Another 33 wins & 29 nominations.,tt0110357
360,2 wins & 3 nominations.,tt0107426
361,1 win & 5 nominations.,tt0111686
362,Nominated for 1 Oscar. Another 6 wins & 19 nominations.,tt0110475
363,Nominated for 1 Oscar. Another 1 win & 1 nomination.,tt0110478
364,Nominated for 1 Golden Globe. Another 2 wins & 7 nominations.,tt0110588
365,3 wins.,tt0110622
366,N/A,tt0110771
367,1 win & 1 nomination.,tt0110950
368,3 nominations.,tt0105226
369,2 nominations.,tt0110989
370,N/A,tt0111054
371,Nominated for 2 Golden Globes. Another 2 nominations.,tt0110997
372,Won 2 Oscars. Another 16 wins & 19 nominations.,tt0111257
373,N/A,tt0111256
374,1 win & 4 nominations.,tt0111438
375,Nominated for 1 Oscar. Another 7 wins & 20 nominations.,tt0111503
376,4 nominations.,tt0111693
377,2 wins & 7 nominations.,tt0111742
378,Nominated for 1 Oscar. Another 3 wins & 5 nominations.,tt0111756
379,N/A,tt0112443
380,N/A,tt0110455
381,5 nominations.,tt0111048
382,1 nomination.,tt0110399
383,N/A,tt0112570
384,2 wins & 6 nominations.,tt0109454
385,N/A,tt0059170
386,1 nomination.,tt0110186
387,4 wins & 2 nominations.,tt0108069
388,2 nominations.,tt0111301
389,1 win & 1 nomination.,tt0112702
390,N/A,tt0112849
391,1 nomination.,tt0113014
392,N/A,tt0113043
393,1 win.,tt0113104
394,N/A,tt0113173
395,1 nomination.,tt0113319
396,N/A,tt0113827
397,N/A,tt0114047
398,5 wins & 14 nominations.,tt0112889
399,N/A,tt0109339
400,1 nomination.,tt0110027
401,3 wins & 1 nomination.,tt0109785
402,1 win & 3 nominations.,tt0113409
403,N/A,tt0109021
404,1 nomination.,tt0109035
405,Nominated for 1 Oscar. Another 3 wins & 15 nominations.,tt0106220
406,N/A,tt0111804
407,Won 1 Oscar. Another 14 wins & 32 nominations.,tt0106226
408,N/A,tt0109068
409,N/A,tt0109067
410,1 nomination.,tt0106292
411,N/A,tt0109198
412,1 win & 1 nomination.,tt0109219
413,N/A,tt0106379
414,1 win & 1 nomination.,tt0106400
415,3 nominations.,tt0109254
416,1 win & 1 nomination.,tt0109279
417,2 nominations.,tt0109297
418,2 nominations.,tt0109303
419,1 nomination.,tt0109305
420,Won 1 Oscar. Another 3 wins & 5 nominations.,tt0109306
421,2 nominations.,tt0106452
422,1 win & 2 nominations.,tt0106471
423,1 win & 3 nominations.,tt0106489
424,2 nominations.,tt0109361
425,N/A,tt0106505
426,Nominated for 2 Golden Globes. Another 1 win & 5 nominations.,tt0106519
427,2 nominations.,tt0109439
428,N/A,tt0109443
429,Nominated for 3 Oscars. Another 1 win & 9 nominations.,tt0106582
430,1 nomination.,tt0106598
431,Nominated for 1 Golden Globe. Another 2 wins & 10 nominations.,tt0109456
432,N/A,tt0109480
433,N/A,tt0109493
434,1 win & 1 nomination.,tt0106660
435,Nominated for 1 Oscar. Another 2 wins & 5 nominations.,tt0106673
436,4 nominations.,tt0106677
437,1 win & 6 nominations.,tt0106697
438,N/A,tt0109729
439,4 nominations.,tt0106834
440,N/A,tt0106873
441,Nominated for 2 Oscars. Another 18 wins & 7 nominations.,tt0106332
442,N/A,tt0109783
443,Nominated for 1 Oscar. Another 6 wins & 7 nominations.,tt0106881
444,1 nomination.,tt0106880
445,Nominated for 1 Golden Globe. Another 3 nominations.,tt0111732
446,1 nomination.,tt0106926
447,2 wins & 1 nomination.,tt0111712
448,N/A,tt0106941
449,Nominated for 2 Oscars. Another 3 wins & 5 nominations.,tt0106918
450,7 wins & 2 nominations.,tt0106965
451,4 wins & 4 nominations.,tt0109842
452,Won 1 Oscar. Another 11 wins & 33 nominations.,tt0106977
453,Nominated for 1 Oscar. Another 1 win & 1 nomination.,tt0107004
454,3 nominations.,tt0109890
455,2 nominations.,tt0109891
456,4 wins & 4 nominations.,tt0109913
457,N/A,tt0109920
458,N/A,tt0107057
459,1 win & 5 nominations.,tt0107076
460,Won 1 Golden Globe. Another 2 nominations.,tt0107096
461,1 win.,tt0107144
462,N/A,tt0113674
463,1 win & 1 nomination.,tt0112966
464,12 wins.,tt0107151
465,N/A,tt0110064
466,2 wins & 3 nominations.,tt0110074
467,1 win & 2 nominations.,tt0110097
468,N/A,tt0110123
469,Nominated for 3 Oscars. Another 2 wins & 13 nominations.,tt0107206
470,Nominated for 7 Oscars. Another 7 wins & 33 nominations.,tt0107207
471,N/A,tt0110137
472,Nominated for 2 Oscars. Another 3 wins & 13 nominations.,tt0108551
473,N/A,tt0110197
474,N/A,tt0107286
475,Won 3 Oscars. Another 32 wins & 25 nominations.,tt0107290
476,4 wins & 4 nominations.,tt0107302
477,2 wins & 1 nomination.,tt0110265
478,7 nominations.,tt0107322
479,1 win & 1 nomination.,tt0110305
480,1 win & 16 nominations.,tt0107362
481,2 wins & 2 nominations.,tt0107413
482,N/A,tt0110353
483,1 win.,tt0107468
484,1 win & 1 nomination.,tt0107478
485,2 wins.,tt0107497
486,3 nominations.,tt0107501
487,Nominated for 1 Golden Globe. Another 3 nominations.,tt0107507
488,2 wins & 4 nominations.,tt0107554
489,2 wins & 2 nominations.,tt0116253
490,4 wins.,tt0074102
491,3 wins & 2 nominations.,tt0111689
492,Nominated for 1 Golden Globe. Another 5 wins & 10 nominations.,tt0107616
493,N/A,tt0107611
494,N/A,tt0107613
495,Won 1 Oscar. Another 10 wins & 9 nominations.,tt0107614
496,8 wins & 7 nominations.,tt0107653
497,1 win.,tt0110657
498,1 win.,tt0110649
499,1 nomination.,tt0110678
500,4 wins & 9 nominations.,tt0110687
501,Nominated for 2 Oscars. Another 15 wins & 8 nominations.,tt0107756
502,N/A,tt0107808
503,Won 2 Oscars. Another 15 wins & 22 nominations.,tt0107818
504,Won 3 Oscars. Another 60 wins & 56 nominations.,tt0107822
505,Nominated for 1 Oscar. Another 4 wins & 4 nominations.,tt0107840
506,N/A,tt0107889
507,1 nomination.,tt0111003
508,N/A,tt0110939
509,1 win & 1 nomination.,tt0110955
510,Nominated for 8 Oscars. Another 16 wins & 31 nominations.,tt0107943
511,N/A,tt0110971
512,1 win & 1 nomination.,tt0107969
513,3 nominations.,tt0111001
514,3 nominations.,tt0107978
515,1 nomination.,tt0107977
516,2 nominations.,tt0107983
517,8 wins & 7 nominations.,tt0105275
518,3 wins & 7 nominations.,tt0108000
519,2 wins & 1 nomination.,tt0108002
520,1 win & 2 nominations.,tt0108026
521,7 wins & 4 nominations.,tt0105032
522,Won 7 Oscars. Another 82 wins & 49 nominations.,tt0108052
523,N/A,tt0111094
524,Nominated for 1 Oscar. Another 5 wins & 9 nominations.,tt0108065
525,1 win & 2 nominations.,tt0111102
526,Nominated for 1 BAFTA Film Award. Another 3 wins & 5 nominations.,tt0108071
527,1 nomination.,tt0111127
528,4 nominations.,tt0111143
529,Nominated for 2 Oscars. Another 7 wins & 11 nominations.,tt0108101
530,Nominated for 1 Oscar. Another 17 wins & 17 nominations.,tt0108122
531,2 nominations.,tt0111194
532,1 win & 3 nominations.,tt0111201
533,Nominated for 1 Oscar. Another 5 nominations.,tt0108149
534,Nominated for 2 Oscars. Another 4 wins & 17 nominations.,tt0108160
535,4 wins & 9 nominations.,tt0108162
536,Nominated for 2 Oscars. Another 11 wins & 16 nominations.,tt0083658
537,1 nomination.,tt0108186
538,N/A,tt0108174
539,N/A,tt0108238
540,2 wins & 3 nominations.,tt0089256
541,2 nominations.,tt0108255
542,1 nomination.,tt0111323
543,N/A,tt0111400
544,7 wins & 4 nominations.,tt0108328
545,N/A,tt0111418
546,Nominated for 1 Oscar. Another 7 wins & 12 nominations.,tt0107688
547,2 wins & 3 nominations.,tt0108333
548,2 nominations.,tt0108358
549,N/A,tt0111488
550,1 win & 10 nominations.,tt0108399
551,Nominated for 1 Oscar. Another 6 wins & 2 nominations.,tt0108515
552,5 nominations.,tt0110763
553,2 nominations.,tt0107779
554,2 nominations.,tt0109226
555,N/A,tt0110259
556,4 wins & 14 nominations.,tt0114906
557,2 wins & 10 nominations.,tt0107002
558,N/A,tt0109403
559,22 wins & 6 nominations.,tt0104029
560,1 win & 1 nomination.,tt0110623
561,5 wins & 9 nominations.,tt0107315
562,3 wins & 3 nominations.,tt0106408
563,2 nominations.,tt0110363
564,1 win & 4 nominations.,tt0107349
565,N/A,tt0111709
566,N/A,tt0109828
567,1 nomination.,tt0107225
568,3 wins & 5 nominations.,tt0111252
569,2 wins.,tt0110366
570,N/A,tt0106878
571,4 nominations.,tt0109120
572,6 wins & 12 nominations.,tt0108059
573,N/A,tt0110892
574,Nominated for 4 Primetime Emmys. Another 7 wins & 4 nominations.,tt0112651
575,2 wins & 2 nominations.,tt0107642
576,12 wins & 20 nominations.,tt0109382
577,7 wins & 6 nominations.,tt0106678
578,3 nominations.,tt0112572
579,Nominated for 2 Oscars. Another 10 wins & 4 nominations.,tt0099785
580,Won 2 Oscars. Another 16 wins & 23 nominations.,tt0099653
581,Won 2 Oscars. Another 30 wins & 22 nominations.,tt0103639
582,Won 4 Oscars. Another 27 wins & 27 nominations.,tt0103064
583,Won 7 Oscars. Another 43 wins & 37 nominations.,tt0099348
584,N/A,tt0114706
585,Won 1 Oscar. Another 8 wins & 26 nominations.,tt0096895
586,Won 5 Oscars. Another 54 wins & 44 nominations.,tt0102926
587,Nominated for 1 Oscar. Another 11 wins & 5 nominations.,tt0029583
588,Won 2 Oscars. Another 24 wins & 25 nominations.,tt0101414
589,Won 2 Oscars. Another 4 wins.,tt0032910
590,Nominated for 1 Oscar. Another 8 wins & 10 nominations.,tt0100405
591,4 nominations.,tt0110719
592,Nominated for 2 Oscars. Another 5 wins & 5 nominations.,tt0065214
593,2 nominations.,tt0110395
594,1 nomination.,tt0111752
595,Nominated for 1 Oscar. Another 1 win.,tt0109934
596,1 nomination.,tt0112606
597,Nominated for 1 Oscar. Another 4 wins & 5 nominations.,tt0117247
598,N/A,tt0112625
599,N/A,tt0106537
600,Won 2 Oscars. Another 79 wins & 59 nominations.,tt0116282
601,2 nominations.,tt0116552
602,4 wins & 2 nominations.,tt0082509
603,1 win & 1 nomination.,tt0116514
604,1 nomination.,tt0117283
605,1 win.,tt0116684
606,1 win & 1 nomination.,tt0110374
607,10 wins & 3 nominations.,tt0070506
608,3 wins & 1 nomination.,tt0065421
609,5 wins & 12 nominations.,tt0113083
610,5 nominations.,tt0118001
611,4 nominations.,tt0116165
612,3 wins & 2 nominations.,tt0102855
613,2 wins & 9 nominations.,tt0107471
614,N/A,tt0113839
615,N/A,tt0112712
616,4 wins & 1 nomination.,tt0090665
617,N/A,tt0117891
618,1 win & 1 nomination.,tt0113613
619,Nominated for 1 Oscar. Another 10 wins & 11 nominations.,tt0117381
620,2 wins & 9 nominations.,tt0114305
621,N/A,tt0115837
622,2 nominations.,tt0115509
623,8 wins & 4 nominations.,tt0114671
624,5 wins & 2 nominations.,tt0112844
625,2 wins & 1 nomination.,tt0114658
626,3 wins & 2 nominations.,tt0116275
627,N/A,tt0113122
628,N/A,tt0117608
629,N/A,tt0113448
630,1 nomination.,tt0116414
631,2 wins & 1 nomination.,tt0116095
632,N/A,tt0111543
633,N/A,tt0117517
634,N/A,tt0117312
635,N/A,tt0116485
636,Nominated for 1 BAFTA Film Award. Another 6 wins & 14 nominations.,tt0113947
637,9 wins & 7 nominations.,tt0115956
638,3 wins & 14 nominations.,tt0117060
639,3 wins.,tt0109028
640,4 nominations.,tt0117071
641,N/A,tt0117788
642,1 win.,tt0112257
643,Nominated for 1 Oscar. Another 3 wins & 7 nominations.,tt0116136
644,N/A,tt0118026
645,3 wins & 2 nominations.,tt0117117
646,1 win & 2 nominations.,tt0116168
647,N/A,tt0111787
648,2 wins.,tt0112509
649,1 win.,tt0054189
650,1 win.,tt0115591
651,Nominated for 1 Oscar. Another 4 wins & 9 nominations.,tt0116683
652,1 win & 2 nominations.,tt0116287
653,4 nominations.,tt0116768
654,1 nomination.,tt0116269
655,6 wins & 10 nominations.,tt0114787
656,Nominated for 1 Oscar. Another 6 wins & 5 nominations.,tt0113720
657,N/A,tt0112536
658,Nominated for 1 BAFTA Film Award. Another 8 wins & 1 nomination.,tt0048473
659,Nominated for 1 BAFTA Film Award. Another 3 wins & 1 nomination.,tt0052572
660,1 nomination.,tt0117128
