,director_id,first_name,last_name
210,d5681,Beeban,Kidron
211,d9644,Geoff,Murphy
212,d8195,Diane,Keaton
213,d8427,Douglas,Keeve
214,d4693,Alfonso,Arau
215,d13612,Kevin,Reynolds
216,d8165,Desmond,Nakano
217,d21482,Walter,Hill
219,d10030,Greg,Beeman
220,d16575,Nikita,Mikhalkov
221,d16065,Milcho,Manchevski
222,d18181,Richard,Linklater
223,d20383,Tamra,Davis
224,d10182,Guy,Ferland
225,d10525,Herbert,Ross
226,d17390,Peter,Horton
227,d20142,Stuart,Gordon
228,d16965,Pat,O'Connor
230,d11917,Jeremy,Leven
231,d5652,Barry,Levinson
232,d18045,René,Bonnière
234,d11042,Jack,Baran
235,d18736,Roman,Polanski
236,d20431,Taylor,Hackford
237,d17360,Peter,Farrelly
238,d443, Bobby,Farrelly
240,d5532,Atom,Egoyan
241,d9534,Garry,Marshall
242,d20671,Tim,Burton
243,d14045,Lawrence,Kasdan
244,d5939,Billy,Crystal
245,d17615,Phillip,Borsos
246,d13600,Kevin,Lima
247,d6159,Brett,Leonard
248,d6469,Carlo,Carlei
249,d10208,Gérard,Corbiau
250,d15000,Mark,Lewis
251,d5443,Art,Clokey
252,d6638,Charles,Burnett
253,d20006,Steve,James
254,d17396,Peter,Jackson
255,d17910,Randall,Miller
256,d5818,Bernard,Rose
257,d20049,Steven,Brill
258,d11005,J.F.,Lawton
259,d9399,Fred,Schepisi
260,d16383,Neil,Jordan
261,d11280,James,Ivory
262,d11309,James,Melkonian
263,d10953,Ivan,Reitman
264,d5426,Arne,Glimcher
265,d15683,Michael,Gottlieb
267,d9706,George,Lucas
268,d9870,Gillian,Armstrong
269,d4697,Alfonso,Cuarón
270,d13494,Ken,Loach
271,d7107,Claude,Chabrol
273,d8644,Edward,Zwick
275,d11265,James,Gray
277,d9950,Glenn Gordon,Caron
278,d19928,Stephen,Gyllenhaal
279,d16434,Nicholas,Hytner
281,d11320,James,Orr
282,d16655,Nora,Ephron
283,d18109,Richard,Benjamin
284,d14157,Les,Mayfield
285,d7800,David,Frankel
286,d10097,Gregory,Nava
287,d14697,Marc,Rocco
288,d18377,Robert,Benton
289,d15588,Michael,Apted
290,d16466,Nick,Gomez
291,d21124,Tôru,Murakawa
292,d21171,Vadim,Jean
293,d4442,Albert,Pyun
294,d4394,Alan,Jacobs
296,d16673,Norman,Jewison
297,d14089,Lee,Tamahori
298,d5190,Anne,Goursaud
299,d21710,Wolfgang,Petersen
300,d14396,Luc,Besson
301,d16103,Mira,Nair
302,d12930,Joshua,Brand
303,d17770,Quentin,Tarantino
304,d14896,Mario Van,Peebles
307,d18543,Robert,Redford
308,d13403,Kayo,Hatta
309,d16972,Patrice,Chéreau
310,d19063,Sam,Raimi
311,d17501,Peter,Yates
312,d18367,Robert,Altman
313,d13813,Krzysztof,Kieslowski
316,d17688,Ping,He
317,d9388,Fred,Gerber
318,d9712,George,Mihalka
319,d10355,Harold,Ramis
320,d18202,Richard,Rich
321,d12556,John,Sayles
322,d14461,Luis,Llosa
323,d18707,Roland,Emmerich
324,d12521,John,Pasquin
325,d9282,Frank,Darabont
326,d7609,Danny,Boyle
327,d19279,Scott,McGehee
328,d862, David,Siegel
329,d20948,Tomás Gutiérrez,Alea
330,d1998, Juan Carlos,Tabío
331,d9697,George,Huang
332,d9639,Geoff,Burton
333,d2131, Kevin,Dowling
334,d13474,Kelly,Makin
336,d17795,Rachel,Talalay
337,d8951,Ernest R.,Dickerson
338,d7749,David,Carson
339,d18895,Rusty,Cundieff
340,d6191,Brian,Gilbert
341,d12341,John,Carpenter
342,d17468,Peter,Segal
343,d14380,Louis,Malle
344,d20103,Steven,Soderbergh
345,d17732,Preston A. Whitmore,II
348,d12677,Jon,Turteltaub
350,d16090,Mina,Shum
351,d16870,P.J.,Hogan
352,d15543,Melanie,Mayron
353,d20895,Tom,Shadyac
354,d19882,Stephan,Elliott
358,d17622,Phillip,Noyce
360,d12011,Jessie,Nelson
362,d4615,Alex,Proyas
363,d18767,Ron,Shelton
364,d6218,Brian,Levant
365,d18592,Robert,Zemeckis
367,d12568,John,Singleton
368,d7651,Darnell,Martin
370,d4928,Andrew,Bergman
371,d19956,Stephen,Sommers
372,d17971,Ray,Müller
373,d3112, Ray,Müller
374,d18669,Roger,Allers
375,d3193, Rob,Minkoff
376,d5824,Bernardo,Bertolucci
378,d7059,Chuck,Russell
380,d4414,Alan,Rudolph
383,d5742,Ben,Stiller
385,d8359,Donald,Petrie
386,d18365,Robert Allan,Ackerman
387,d7322,Curtis,Hanson
388,d11436,Jan de,Bont
389,d18769,Ron,Underwood
391,d11225,James,Cameron
392,d14464,Luis,Mandoki
395,d7409,Damian,Harris
396,d20216,Suri,Krishnamma
397,d11732,Jefery,Levy
398,d13428,Keenen Ivory,Wayans
399,d18499,Robert Lee,King
400,d3101, Raoul,O'Connell
401,d491, Brian,Sloan
402,d21929,Yves,Angelo
403,d18881,Russ,Meyer
404,d8409,Doug,McHenry
405,d7675,Dave,Borthwick
406,d20060,Steven E. de,Souza
407,d21468,Wallace,Wolodarsky
408,d15582,Michael A.,Nickles
409,d17204,Paul,Warner
410,d21358,Vincent,Robert
411,d20547,Theodore,Thomas
412,d14417,Lucas,Platt
413,d18802,Ross Kagan,Marks
414,d17210,Paul,Williams
415,d18588,Robert,Wuhl
416,d18617,Roberto,Sneider
417,d11833,Jefri,Aalmuhammed
418,d1565, Jack,Baxter
419,d4992,Andrew,Morahan
420,d15630,Michael,Corrente
422,d12390,John G.,Avildsen
423,d11781,Jeff,Pollack
425,d20627,Thomas,Schlamme
427,d15736,Michael,Lehmann
428,d17152,Paul Michael,Glaser
430,d12723,Jonathan,Kaplan
431,d21550,Whit,Stillman
432,d5900,Bill,Forsyth
434,d12462,John,Landis
435,d6530,Caroline,Thompson
437,d19932,Stephen,Hopkins
439,d21007,Tony,Richardson
441,d11860,Jennifer,Lynch
442,d18413,Robert De,Niro
443,d4215,Adam,Resnick
444,d12598,John,Whitesell
445,d6183,Brian De,Palma
446,d17206,Paul,Weiland
447,d15923,Mick,Jackson
449,d19981,Steve,Barron
450,d18205,Richard,Rush
451,d15806,Michael,Ritchie
452,d10069,Gregg,Champion
456,d14747,Marco,Brambilla
457,d6272,Bruce,Brown
459,d6454,Carl,Reiner
460,d13268,Kaige,Chen
462,d17496,Peter,Weir
464,d4488,Alek,Keshishian
465,d20007,Steve,Kloves
466,d12439,John,Irvin
469,d19721,Simon,Wincer
470,d5990,Boaz,Yakin
475,d18794,Rose,Troche
476,d6268,Bruce,Beresford
477,d19654,Sidney,Lumet
480,d12039,Jim,Abrahams
481,d13100,Julianna,Lavin
482,d7017,Christopher,Monger
483,d5934,Bille,August
484,d8874,Eric,Meza
485,d12252,Joel,Coen
486,d1092, Ethan,Coen
487,d11290,James L.,Brooks
488,d7560,Daniel Petrie,Jr.
490,d12088,Jim,Sheridan
491,d15427,Matty,Rich
495,d20104,Steven,Spielberg
496,d8293,Dominic,Sena
497,d18670,Roger,Avary
499,d7559,Daniel,Petrie
501,d11295,James,Lapine
503,d7759,David,Cronenberg
510,d20132,Stuart,Baird
511,d16273,Nagisa,Ôshima
512,d20879,Tom,Noonan
515,d5257,Anthony,Minghella
517,d15999,Mike,Leigh
519,d15849,Michael,Tolkin
522,d19020,Sally,Potter
524,d12708,Jonathan,Demme
525,d11441,Jane,Campion
528,d20150,Stuart,Orme
529,d15539,Mel,Smith
532,d17279,Penny,Marshall
533,d17566,Philip,Kaufman
534,d4405,Alan,Parker
