first_name,last_name,actor_id
 Charles,Durning,a24852
Philippe,Noiret,a58353
 Massimo,Troisi,a76916
 Maria Grazia,Cucinotta,a20685
 Renato,Scarpa,a68900
Lothaire,Bluteau,a10651
 Patrick,Goyette,a32316
 Jean-Louis,Millette,a54579
 Kristin Scott,Thomas,a75712
Hal,Scardino,a68896
N/A,Litefoot,a48564
 Lindsay,Crouse,a20528
 Richard,Jenkins,a40012
Sally,Field,a27647
 Olivia,Burnette,a13993
 Alexandra,Kyle,a45688
Richard,Dreyfuss,a24345
 Glenne,Headly,a35701
 Jay,Thomas,a75705
 Olympia,Dukakis,a24600
Shawn,Wayans,a79927
 Marlon,Wayans,a79922
 Tracey Cherelle,Jones,a40760
 Chris,Spencer,a72632
Denis,Leary,a47016
 Sandra,Bullock,a13771
 Stephen,Dillane,a23316
 Yaphet,Kotto,a44846
William,Atherton,a4750
 Denise,Dowse,a24195
 Dara,Tomanovich,a76375
 Kevin,West,a80371
Patrick,Bergin,a8927
 Matt,Frewer,a29150
 Austin,O'Brien,a58771
 Ely,Pouget,a63115
Jerry,Barone,a6885
 Mary Elizabeth,Mastrantonio,a52046
 Al,Pacino,a60050
 Patrick,Borriello,a11428
Victoria,Abril,a394
 Josiane,Balasko,a6043
 Alain,Chabat,a16593
 Ticky,Holgado,a37179
Ice,Cube,a20670
 Nia,Long,a49011
 Tommy 'Tiny',Lister,a48558
George,Clooney,a18591
 Quentin,Tarantino,a75068
 Harvey,Keitel,a42578
 Juliette,Lewis,a47972
William,Baldwin,a6107
 Cindy,Crawford,a20295
 Steven,Berkoff,a9001
 Christopher,McDonald,a52867
Josh,Hamilton,a34404
 Samuel,Gould,a32264
 Catherine,Kellner,a42661
 Jonathan,Baumbach,a7555
Jean-Paul,Belmondo,a8374
 Michel,Boujenah,a11660
 Alessandra,Martines,a51761
 Salomé,Lelouch,a47553
Christian,Slater,a71681
 Mary Stuart,Masterson,a52038
 Pamela,Adlon,a809
 Josh,Brolin,a12895
Rick,Moranis,a55703
 Tom,Arnold,a4188
 Julianne,Phillips,a62136
 Carol,Kane,a41720
Peter,Weller,a80221
 Roy,Dupuis,a24809
 Jennifer,Rubin,a67189
 Andrew,Lauer,a46668
Nico,Nico,a58025
 Tina,Aumont,a4970
 Christian,Päffgen,a63751
 Edith,Boulogne,a11670
Jack,Nicholson,a58014
 David,Morse,a56057
 Anjelica,Huston,a38340
 Robin,Wright,a81873
Demi,Moore,a55622
 Alec,Baldwin,a6081
 Joseph,Gordon-Levitt,a32125
 James,Gandolfini,a30048
Aida,Mohammadkhani,a55181
 Mohsen,Kafili,a41483
 Fereshteh Sadre,Orafaiy,a59619
 Anna,Borkowska,a11392
Andy,Garcia,a30152
 Christopher,Lloyd,a48725
 William,Forsythe,a28567
 Bill,Nunn,a58653
Willeke van,Ammelrooy,a2675
 Els,Dottermans,a24036
 Dora van der,Groen,a33124
 Veerle van,Overloop,a59923
Al Freeman,Jr.,a41150
 Phylicia,Rashad,a64491
N/A,Leon,a47665
 Paula,Kelly,a42720
Victoria,Foyt,a28766
 Viveca,Lindfors,a48367
 Jon Robin,Baitz,a5830
 Savannah Smith,Boucher,a11621
Mark,Rylance,a67620
 Patsy,Kensit,a42906
 Jeremy,Kemp,a42766
Jeff,Bridges,a12621
 Caroline,Goodall,a31960
 John,Savage,a68714
 Scott,Wolf,a81510
Jason,Alexander,a1816
 Faye,Dunaway,a24661
 Eric,Lloyd,a48729
 Rupert,Everett,a26559
Chris,Farley,a26984
 David,Spade,a72526
 Tim,Matheson,a52113
 Christine,Ebersole,a25210
Johnny,Depp,a22740
 Courtney,Chase,a17092
 Christopher,Walken,a79251
Jason,Patric,a61017
 Thandie,Newton,a57880
 Larry,Drake,a24257
 Sam,Waterston,a79824
Julia,Roberts,a66076
 John,Malkovich,a50765
 George,Cole,a18903
 Michael,Gambon,a30013
Eddie,Murphy,a56637
 Allen,Payne,a61215
 Kadeem,Hardison,a34795
Matt,Dillon,a23344
 Noah,Emmerich,a25986
 Annabeth,Gish,a31390
 Lauren,Holly,a37246
 Christian,Slater,a71676
 Samantha,Mathis,a52137
 Delroy,Lindo,a48388
Richard,Briers,a12637
 Hetta,Charnley,a17061
 Joan,Collins,a19047
 Nicholas,Farrell,a27041
Vincent,Cassel,a16092
 Hubert,Koundé,a44860
 Saïd,Taghmaoui,a74698
 Abdel Ahmed,Ghili,a30933
Sadie,Frost,a29309
 Jude,Law,a46798
 Sean,Pertwee,a61768
 Fraser,James,a39617
Nick,Broomfield,a13033
 Nina Xining,Zuo,a83400
 Madam,Alex,a1745
 Corinne,Bohrer,a10874
 John,Cusack,a20941
 Danny,Aiello,a1165
Luke,Wilson,a81232
 Owen,Wilson,a81189
 Ned,Dowd,a24152
 Shea,Fowler,a28690
Ellen,DeGeneres,a22185
 Bill,Pullman,a63644
 Joan,Cusack,a20940
 Dean,Stockwell,a73518
Ray,Liotta,a48498
 Linda,Fiorentino,a27866
 Peter,Coyote,a20188
Adam,Sandler,a68325
 Julie,Bowen,a11774
 Frances,Bay,a7614
Clint,Eastwood,a25189
 Meryl,Streep,a73759
 Annie,Corley,a19738
 Victor,Slezak,a71702
Maria,Schrader,a69223
 Pierre,Sanoussi-Bliss,a68388
 Michael von,Au,a4870
 Elisabeth,Trissenaar,a76901
Tim,Curry,a20891
 Jennifer,Saunders,a68690
 Kevin,Bishop,a9932
Christy,Turlington,a77259
 Azzedine,Alaïa,a1512
 Giorgio,Armani,a4027
 Nadja,Auermann,a4925
Raymond J.,Barry,a7080
 Rustam,Branaman,a12153
 Jennifer,MacDonald,a50027
 Taylor,Nichols,a58001
James,Robinson,a66197
 Sean,Lawlor,a46824
 Sandy,Nelson,a57675
 James,Cosmo,a19888
